rtt_ms,bw_mbit,loss_pct,buf_bytes,bbrv2_sender_mbps,bbrv2_receiver_mbps,bbrv3_sender_mbps,bbrv3_receiver_mbps,sender_diff_mbps,sender_diff_pct,receiver_diff_mbps,receiver_diff_pct,winner
100,300,2,100000000,103.212715,102.537454,44.947525,44.429950,-58.265190,-56.451562,-58.107504,-56.669540,bbrv2
100,500,0,100000,14.662160,14.271067,13.561105,13.182429,-1.101055,-7.509503,-1.088638,-7.628287,bbrv2
100,500,0,2000000,114.203065,113.588881,203.981009,203.374373,89.777944,78.612553,89.785492,79.044261,bbrv3
100,500,0,10000000,208.134465,207.783812,208.590340,208.108711,0.455874,0.219029,0.324899,0.156364,bbrv3
100,500,0,50000000,207.139560,206.785128,211.960824,211.492733,4.821264,2.327544,4.707605,2.276568,bbrv3
100,500,0,100000000,208.223217,207.781231,207.735528,207.273395,-0.487690,-0.234215,-0.507836,-0.244409,bbrv2
100,500,1,100000,14.696977,14.351665,11.446577,11.037716,-3.250400,-22.116110,-3.313949,-23.091044,bbrv2
100,500,1,2000000,110.359319,109.909448,93.390084,92.818398,-16.969235,-15.376350,-17.091050,-15.550119,bbrv2
100,500,1,10000000,115.706034,115.246164,87.185780,86.695850,-28.520254,-24.648891,-28.550314,-24.773331,bbrv2
100,500,1,50000000,116.564348,115.909730,109.958031,109.437074,-6.606317,-5.667528,-6.472655,-5.584221,bbrv2
100,500,1,100000000,117.977758,117.601636,118.450479,117.683832,0.472722,0.400687,0.082195,0.069893,bbrv3
100,500,2,100000,14.539812,14.044244,7.042642,6.625881,-7.497170,-51.563047,-7.418363,-52.821374,bbrv2
100,500,2,2000000,92.690443,92.357979,27.768779,27.240015,-64.921664,-70.041379,-65.117963,-70.506051,bbrv2
100,500,2,10000000,107.265252,106.565110,45.663932,45.109911,-61.601320,-57.428961,-61.455199,-57.669155,bbrv2
100,500,2,50000000,105.203380,104.435744,11.201838,10.793283,-94.001542,-89.352207,-93.642461,-89.665145,bbrv2
100,500,2,100000000,107.667914,107.309667,12.617444,12.090652,-95.050470,-88.281147,-95.219015,-88.732933,bbrv2
100,1000,0,100000,14.802024,14.445381,13.421299,13.050152,-1.380725,-9.327948,-1.395228,-9.658648,bbrv2
100,1000,0,2000000,116.317605,115.664751,132.115591,131.891193,15.797986,13.581767,16.226442,14.028857,bbrv3
100,1000,0,10000000,209.829704,209.471277,216.050886,215.685787,6.221182,2.964872,6.214510,2.966760,bbrv3
100,1000,0,50000000,211.266267,210.909426,214.654254,214.292764,3.387987,1.603657,3.383338,1.604166,bbrv3
100,1000,0,100000000,211.771191,211.361155,214.199275,213.767281,2.428084,1.146560,2.406126,1.138396,bbrv3
100,1000,1,100000,14.732084,14.332582,11.883389,11.532052,-2.848695,-19.336674,-2.800530,-19.539609,bbrv2
100,1000,1,2000000,89.511760,89.063775,98.598093,98.171861,9.086333,10.150994,9.108086,10.226476,bbrv3
100,1000,1,10000000,118.643021,118.285454,105.415080,105.011308,-13.227941,-11.149363,-13.274145,-11.222128,bbrv2
100,1000,1,50000000,117.174279,116.975873,117.103632,116.731457,-0.070646,-0.060292,-0.244416,-0.208946,bbrv2
100,1000,1,100000000,106.951474,106.489451,107.108363,106.666407,0.156889,0.146692,0.176955,0.166172,bbrv3
100,1000,2,100000,14.644690,14.218597,6.570773,6.175867,-8.073917,-55.132044,-8.042730,-56.564862,bbrv2
100,1000,2,2000000,89.876913,89.226432,11.463965,10.938601,-78.412949,-87.244817,-78.287831,-87.740627,bbrv2
100,1000,2,10000000,112.088603,111.550386,14.067917,13.608114,-98.020686,-87.449289,-97.942272,-87.800926,bbrv2
100,1000,2,50000000,108.174714,107.780089,28.852376,28.332740,-79.322338,-73.327985,-79.447349,-73.712455,bbrv2
100,1000,2,100000000,110.935188,110.591294,50.574782,50.140056,-60.360406,-54.410514,-60.451237,-54.661841,bbrv2
